0|165|Albertslund|-72,41,150|-81,48,195|-98,59,122|-98,59,122
1|201|Allerød|-69,34,120|-79,35,175|-94,44,118|-94,44,118
2|420|Assens|22,89,20|22,93,80|31,99,10|31,99,10
3|151|Ballerup|-70,40,120|-78,43,170|-98,56,122|-98,56,122
4|530|Billund|66,38,0|77,40,60|64,69,0|64,69,0
5|400|Bornholm|-61,-108,0|-61,-104,60|-46,-89,0|-46,-89,0
6|153|Brøndby|-71,41,120|-80,49,170|-92,58,130|-92,58,130
7|810|Brønderslev|52,-122,0|52,-114,60|51,-100,0|51,-100,0
8|155|Dragør|-77,43,125|-84,48,175|-93,60,125|-93,60,125
9|240|Egedal|-60,36,80|-68,40,130|-76,52,80|-76,52,80
10|561|Esbjerg|65,72,0|92,77,60|69,92,0|69,92,0
11|563|Fanø|77,65,60|105,70,110|84,92,20|84,92,20
12|710|Favrskov|39,-16,0|39,-11,60|60,0,0|60,0,0
13|320|Faxe|-47,84,20|-58,88,70|-48,100,20|-48,100,20
14|210|Fredensborg|-62,34,70|-70,37,120|-77,51,70|-77,51,70
15|607|Fredericia|49,59,30|47,64,80|61,87,30|61,87,30
16|147|Frederiksberg|-75,47,140|-86,52,180|-91,56,140|-91,56,140
17|813|Frederikshavn|35,-130,0|24,-129,60|46,-104,0|46,-104,0
18|250|Frederikssund|-62,34,100|-68,36,150|-72,47,100|-72,47,100
19|190|Furesø|-71,31,150|-80,36,200|-85,45,120|-85,45,120
20|430|Faaborg-Midtfyn|12,93,0|10,98,60|14,109,0|14,109,0
21|157|Gentofte|-74,38,140|-85,44,190|-90,53,140|-90,53,140
22|159|Gladsaxe|-75,40,140|-82,45,190|-90,53,140|-90,53,140
23|161|Glostrup|-74,46,140|-81,49,190|-86,53,140|-86,53,140
24|253|Greve|-69,53,110|-76,57,160|-69,60,110|-69,60,110
25|270|Gribskov|-67,32,90|-72,22,150|-72,44,100|-72,44,100
26|376|Guldborgsund|-38,127,0|-40,135,60|-36,133,0|-36,133,0
27|510|Haderslev|52,90,0|60,95,60|60,96,0|60,96,0
28|260|Halsnæs|-65,34,100|-66,28,150|-72,47,100|-72,47,100
29|766|Hedensted|56,39,0|51,39,60|60,55,0|60,55,0
30|217|Helsingør|-56,34,100|-75,20,150|-80,45,100|-80,45,100
31|163|Herlev|-74,44,140|-81,48,190|-86,52,140|-86,52,140
32|657|Herning|67,0,0|76,5,60|66,15,0|66,15,0
33|219|Hillerød|-69,33,100|-73,31,150|-75,45,100|-75,45,100
34|860|Hjørring|46,-125,0|46,-127,60|54,-103,0|54,-103,0
35|316|Holbæk|-44,50,0|-49,54,60|-30,67,0|-30,67,0
36|661|Holstebro|66,-23,0|96,-20,60|66,2,0|66,2,0
37|615|Horsens|58,24,0|52,26,60|58,30,0|58,30,0
38|167|Hvidovre|-74,54,140|-82,56,190|-86,60,140|-86,60,140
39|169|Høje-Taastrup|-72,51,140|-81,53,190|-84,61,140|-84,61,140
40|223|Hørsholm|-69,35,120|-77,38,170|-77,43,120|-77,43,120
41|756|Ikast-Brande|66,9,0|76,13,60|62,30,0|62,30,0
42|183|Ishøj|-73,54,130|-79,56,180|-86,60,130|-86,60,130
43|849|Jammerbugt|55,-108,0|60,-106,60|55,-84,0|55,-84,0
44|326|Kalundborg|-46,49,0|-44,53,60|-34,71,0|-34,71,0
45|440|Kerteminde|3,75,0|0,75,60|1,98,0|1,98,0
46|621|Kolding|58,75,0|55,77,60|59,90,0|59,90,0
47|101|København|-74,43,130|-82,47,180|-88,56,130|-88,56,130
48|259|Køge|-49,66,20|-59,68,70|-38,89,0|-38,89,0
49|482|Langeland|-7,113,0|-10,122,60|5,125,0|5,125,0
50|350|Lejre|-55,46,30|-61,49,80|-62,57,60|-62,57,60
51|665|Lemvig|66,-33,0|98,-33,60|69,-19,0|69,-19,0
52|360|Lolland|-38,122,0|-38,131,60|-33,131,10|-33,131,10
53|173|Lyngby-Taarbæk|-76,40,140|-87,43,190|-86,50,140|-86,50,140
54|825|Læsø|11,-128,40|11,-130,90|12,-114,40|12,-114,40
55|846|Mariagerfjord|52,-57,0|52,-57,60|59,-36,0|59,-36,0
56|410|Middelfart|23,76,0|27,76,60|16,100,0|16,100,0
57|773|Morsø|64,-71,0|94,-68,60|64,-56,0|64,-56,0
58|707|Norddjurs|2,-30,0|-8,-26,60|-26,0,0|-26,0,0
59|480|Nordfyns|14,75,0|14,75,60|14,90,0|14,90,0
